insee,nom,surf_dep,total,s150,s50,s20,s10
01001,L'Abergement-Clémenciat,1564,944,378,63,8,1
01002,L'Abergement-de-Varey,908,139,63,13,1,0
01004,Ambérieu-en-Bugey,2445,172,71,10,1,0
01005,Ambérieux-en-Dombes,1599,959,207,36,6,1
01006,Ambléon,596,132,33,6,1,0
01007,Ambronay,3358,1588,418,73,11,2
01008,Ambutrix,521,307,63,13,1,0
01009,Andert-et-Condon,700,133,46,9,1,0
01010,Anglefort,2957,728,203,58,10,1
01011,Apremont,1495,386,91,23,4,1
01012,Aranc,2165,477,111,24,4,1
01013,Arandas,1403,558,66,13,2,0
01014,Arbent,2362,92,63,13,2,0
01015,Arboys-en-Bugey,2251,627,173,28,4,0
01016,Arbigny,1746,1082,168,39,6,1
01017,Argis,783,138,37,5,0,0
01019,Armix,686,142,16,2,0,0
01021,Ars-sur-Formans,554,382,91,19,2,0
01022,Artemare,328,66,45,13,2,0
01023,Asnières-sur-Saône,468,362,36,7,1,0
01024,Attignat,1888,1061,406,80,10,1
01025,Bâgé-Dommartin,5694,3744,1721,333,46,8
01026,Bâgé-le-Châtel,87,22,20,7,1,0
01027,Balan,1799,740,185,35,5,1
01028,Baneins,903,649,234,37,4,0
01029,Beaupont,1409,920,410,68,7,1
01030,Beauregard,96,20,6,0,0,0
01031,Bellignat,778,9,2,1,0,0
01032,Béligneux,1333,619,111,26,5,0
01033,Valserhône,6268,1468,580,120,20,4
01034,Belley,2248,786,496,149,25,5
01035,Belleydoux,1773,301,183,40,5,1
01036,Valromey-sur-Séran,5684,2241,613,119,20,4
01037,Bénonces,1545,446,89,20,4,1
01038,Bény,1823,1167,494,87,10,1
01039,Béon,1030,93,19,6,0,0
01040,Béréziat,1123,802,270,56,7,1
01041,Bettant,342,33,14,4,0,0
01042,Bey,277,200,93,17,2,0
01043,Beynost,1066,525,144,30,5,1
01044,Billiat,1377,856,164,24,3,1
01045,Birieux,1577,942,173,23,3,0
01046,Biziat,1157,876,332,66,8,1
01047,Blyes,943,457,89,18,3,1
01049,La Boisse,940,397,73,14,2,0
01050,Boissey,944,668,222,42,6,1
01051,Bolozon,491,84,26,5,0,0
01052,Bouligneux,2618,1605,321,44,5,1
01053,Bourg-en-Bresse,2389,295,196,41,6,1
01054,Bourg-Saint-Christophe,899,638,59,10,1,0
01056,Boyeux-Saint-Jérôme,1689,276,60,14,2,0
01057,Boz,766,377,51,11,1,0
01058,Brégnier-Cordon,1134,226,82,19,3,0
01060,Brénod,2393,637,197,36,5,1
01061,Brens,685,308,175,50,7,1
01062,Bressolles,763,469,71,15,2,0
01063,Brion,447,96,30,5,0,0
01064,Briord,1226,285,139,34,5,1
01065,Buellas,1024,628,239,52,6,1
01066,La Burbanche,1082,138,32,7,1,0
01067,Ceignes,1021,251,28,5,1,0
01068,Cerdon,1214,96,25,4,0,0
01069,Certines,1593,694,206,47,7,1
01071,Cessy,636,255,115,25,3,0
01072,Ceyzériat,925,145,60,11,1,0
01073,Ceyzérieu,1986,602,175,32,4,0
01074,Chalamont,3289,1894,518,84,12,2
01075,Chaleins,1706,1415,376,68,11,2
01077,Challes-la-Montagne,777,309,59,14,2,0
01078,Challex,868,363,132,29,4,0
01079,Champagne-en-Valromey,1816,1253,262,60,12,3
01080,Champdor-Corcelles,3150,981,239,52,8,1
01081,Champfromier,3183,211,111,27,4,0
01082,Chanay,1823,407,142,28,4,1
01083,Chaneins,1270,862,250,46,6,1
01084,Chanoz-Châtenay,1331,914,474,87,11,2
01085,La Chapelle-du-Châtelard,1369,969,273,39,5,1
01087,Charix,1849,284,106,21,3,0
01088,Charnoz-sur-Ain,662,367,91,22,4,0
01089,Château-Gaillard,1596,955,214,40,6,1
01090,Châtenay,1517,820,248,37,4,1
01092,Châtillon-la-Palud,1401,359,105,19,3,0
01093,Châtillon-sur-Chalaronne,1805,950,529,94,11,2
01094,Chavannes-sur-Reyssouze,1651,1179,503,108,15,3
01095,Nivigne et Suran,3125,1241,322,57,9,1
01096,Chaveyriat,1671,1153,562,108,15,3
01098,Chazey-Bons,1549,411,194,41,6,1
01099,Chazey-sur-Ain,2179,1397,177,30,4,0
01100,Cheignieu-la-Balme,599,95,35,5,0,0
01101,Chevillard,669,198,55,12,2,0
01102,Chevroux,1718,1218,447,88,12,2
01103,Chevry,581,252,111,25,3,0
01104,Chézery-Forens,4631,811,379,77,12,2
01105,Civrieux,2013,1417,372,69,10,1
01106,Cize,453,155,39,9,1,0
01107,Cleyzieu,757,263,26,4,0,0
01108,Coligny,1685,706,335,58,6,1
01109,Collonges,1622,463,212,47,7,1
01110,Colomieu,594,175,43,8,1,0
01111,Conand,1535,270,71,12,2,0
01112,Condamine,458,128,43,9,1,0
01113,Condeissiat,2166,1462,615,92,10,1
01114,Confort,1130,428,111,20,2,0
01115,Confrançon,1818,1272,524,102,13,2
01116,Contrevoz,1413,453,128,25,4,1
01117,Conzieu,716,151,33,5,0,0
01118,Corbonod,3196,645,373,89,14,3
01121,Corlier,542,178,31,7,1,0
01123,Cormoranche-sur-Saône,992,310,93,23,3,0
01124,Cormoz,1960,1329,466,74,8,1
01125,Corveissiat,2295,777,142,30,4,0
01127,Courmangoux,1489,721,145,20,2,0
01128,Courtes,899,646,249,44,5,0
01129,Crans,1322,514,141,23,3,0
01130,Bresse-Vallons,2613,1575,691,129,16,2
01133,Cressin-Rochefort,791,187,60,14,2,0
01134,Crottet,1222,628,184,36,5,1
01135,Crozet,2714,1143,264,51,8,2
01136,Cruzilles-lès-Mépillat,1189,867,294,54,8,1
01138,Culoz,1925,422,93,17,2,0
01139,Curciat-Dongalon,2393,1955,613,98,13,2
01140,Curtafond,1271,787,390,73,9,1
01141,Cuzieu,488,192,117,27,4,0
01142,Dagneux,683,241,90,26,6,1
01143,Divonne-les-Bains,3398,712,299,70,11,2
01145,Dompierre-sur-Veyle,2912,1416,495,78,10,1
01146,Dompierre-sur-Chalaronne,475,345,107,25,4,0
01147,Domsure,1529,1005,428,72,8,1
01148,Dortan,1889,367,136,23,3,0
01149,Douvres,525,175,32,8,1,0
01150,Drom,784,314,52,15,3,0
01151,Druillat,2082,845,256,49,6,1
01152,Échallon,2815,349,196,47,6,1
01153,Échenevex,1642,795,189,37,4,0
01155,Évosges,1219,561,35,8,1,0
01156,Faramans,1115,676,218,46,6,1
01157,Fareins,822,414,206,48,7,1
01158,Farges,1430,330,99,20,2,0
01159,Feillens,1484,575,117,27,4,0
01160,Ferney-Voltaire,476,119,65,14,1,0
01162,Flaxieu,279,60,20,5,0,0
01163,Foissiat,4007,2793,1137,200,24,4
01165,Francheleins,1365,1072,316,68,11,2
01166,Frans,806,547,203,37,4,0
01167,Garnerans,864,551,159,32,4,0
01169,Genouilleux,409,255,78,15,1,0
01170,Béard-Géovreissiat,466,138,66,16,2,0
01171,Géovreisset,330,13,5,0,0,0
01173,Gex,3192,458,250,57,8,1
01174,Giron,937,224,87,19,3,0
01175,Gorrevod,688,415,164,40,6,1
01177,Grand-Corent,715,156,38,8,1,0
01179,Grièges,1481,802,167,35,6,1
01180,Grilly,751,344,113,23,3,0
01181,Groissiat,614,90,37,9,1,0
01183,Guéreins,450,198,62,12,2,0
01184,Hautecourt-Romanèche,2142,747,183,38,5,1
01185,Plateau-d'Hauteville,10622,2465,705,134,20,4
01187,Haut Valromey,10778,4184,896,153,25,5
01188,Illiat,2037,1406,487,77,10,2
01189,Injoux-Génissiat,2960,841,221,43,6,1
01190,Innimond,1336,491,44,9,1,0
01191,Izenave,1308,371,71,15,2,0
01192,Izernore,2118,754,226,36,4,0
01193,Izieu,776,145,64,13,2,0
01194,Jassans-Riottier,492,92,78,21,3,0
01195,Jasseron,1889,493,188,38,5,1
01196,Jayat,1620,1183,503,85,10,1
01197,Journans,244,89,23,5,0,0
01198,Joyeux,1656,1001,215,32,4,0
01199,Jujurieux,1547,306,123,22,3,0
01200,Labalme,890,168,67,12,2,0
01202,Lagnieu,2743,1030,325,61,9,2
01203,Laiz,1036,747,278,56,7,1
01204,Le Poizat-Lalleyriat,3329,437,186,35,4,0
01206,Lantenay,657,237,58,13,2,0
01207,Lapeyrouse,2014,1355,250,36,5,1
01208,Lavours,617,184,24,3,0,0
01209,Léaz,1141,265,91,16,2,0
01210,Lélex,1764,325,124,36,6,1
01211,Lent,3170,1525,510,86,11,2
01212,Lescheroux,2018,1411,594,111,15,2
01213,Leyment,1425,775,118,19,2,0
01214,Leyssard,930,244,47,7,1,0
01215,Surjoux-Lhopital,805,252,95,16,1,0
01216,Lhuis,2456,677,230,53,8,1
01219,Lompnas,1267,441,53,13,2,0
01224,Loyettes,2119,1463,210,35,5,1
01225,Lurcy,479,377,102,18,2,0
01227,Magnieu,1139,400,193,43,7,1
01228,Maillat,1154,263,61,10,1,0
01229,Malafretaz,925,491,226,49,8,1
01230,Mantenay-Montlin,1079,792,298,53,9,2
01231,Manziat,1267,561,120,28,5,1
01232,Marboz,4029,2577,990,165,19,3
01233,Marchamp,1305,231,62,15,2,0
01234,Marignieu,357,112,40,6,0,0
01235,Marlieux,1718,1202,339,48,6,1
01236,Marsonnas,1830,1365,664,123,14,2
01237,Martignat,1318,110,49,13,2,0
01238,Massieux,316,112,50,11,1,0
01239,Massignieu-de-Rives,917,303,174,40,5,1
01240,Matafelon-Granges,2172,341,146,32,5,1
01241,Meillonnas,1787,859,327,58,6,0
01242,Mérignat,311,72,27,4,0,0
01243,Messimy-sur-Saône,597,294,158,38,6,1
01244,Meximieux,1376,675,221,39,6,1
01245,Bohas-Meyriat-Rignat,2346,870,208,40,6,1
01246,Mézériat,1916,1275,551,105,16,3
01247,Mijoux,2190,473,178,39,6,1
01248,Mionnay,2001,1277,327,49,6,1
01249,Miribel,2439,1175,183,38,6,1
01250,Misérieux,747,424,167,33,5,1
01252,Mogneneins,851,530,140,26,3,0
01254,Montagnat,1379,465,233,49,7,1
01255,Montagnieu,620,159,66,16,2,0
01257,Montanges,1366,290,85,20,3,0
01258,Montceaux,1003,651,248,53,7,1
01259,Montcet,662,428,206,42,6,1
01260,Le Montellier,1529,789,175,21,2,0
01261,Monthieux,1072,445,147,25,3,0
01262,Montluel,4007,2371,492,75,10,2
01263,Montmerle-sur-Saône,410,23,17,3,0,0
01264,Montracol,1469,869,441,81,12,2
01265,Montréal-la-Cluse,1234,100,55,10,1,0
01266,Montrevel-en-Bresse,999,613,297,67,9,1
01267,Nurieux-Volognat,1966,711,153,31,4,0
01268,Murs-et-Gélignieux,616,101,58,15,2,0
01269,Nantua,1439,79,22,4,0,0
01272,Neuville-les-Dames,2621,1642,772,129,18,3
01273,Neuville-sur-Ain,1990,826,227,54,9,1
01274,Les Neyrolles,966,86,23,3,0,0
01275,Neyron,526,136,40,9,1,0
01276,Niévroz,1042,600,161,33,6,1
01277,Nivollet-Montgriffon,839,314,74,13,1,0
01279,Oncieu,755,107,27,8,2,0
01280,Ordonnaz,1488,522,80,18,3,0
01281,Ornex,568,209,100,27,4,0
01282,Outriaz,595,169,44,10,1,0
01283,Oyonnax,3620,453,107,18,2,0
01284,Ozan,656,344,86,17,3,0
01285,Parcieux,315,165,67,17,2,0
01286,Parves-et-Nattages,1577,483,240,53,10,3
01288,Péron,2601,721,233,51,9,1
01289,Péronnas,1786,589,249,51,6,1
01290,Pérouges,1909,1365,246,46,5,1
01291,Perrex,1115,725,313,62,8,1
01293,Peyriat,590,269,47,12,2,0
01294,Peyrieu,1392,515,171,42,6,1
01295,Peyzieux-sur-Saône,865,592,126,22,3,0
01296,Pirajoux,1302,926,327,54,5,0
01297,Pizay,1118,574,103,22,3,0
01298,Plagne,619,122,51,10,1,0
01299,Le Plantay,2067,1338,331,44,6,1
01301,Polliat,2012,1161,492,95,11,1
01302,Pollieu,373,86,33,5,0,0
01303,Poncin,1981,484,175,31,4,1
01304,Pont-d'Ain,1125,426,128,26,3,0
01305,Pont-de-Vaux,766,398,89,29,5,1
01306,Pont-de-Veyle,195,80,34,5,0,0
01307,Port,428,100,14,1,0,
01308,Pougny,747,256,85,17,2,0
01309,Pouillat,636,190,34,6,0,0
01310,Prémeyzel,754,177,43,9,1,0
01311,Prémillieu,851,184,29,4,0,0
01313,Prévessin-Moëns,1208,400,205,49,7,0
01314,Priay,1572,491,186,33,4,1
01317,Ramasse,973,276,32,8,1,0
01318,Rancé,958,672,206,43,6,1
01319,Relevant,1235,849,340,52,8,1
01320,Replonges,1671,794,209,55,9,1
01321,Revonnas,773,365,81,16,2,0
01322,Reyrieux,1568,831,190,40,6,1
01323,Reyssouze,960,616,126,29,4,0
01325,Rignieux-le-Franc,1495,815,230,37,4,0
01328,Romans,2206,1430,473,62,8,1
01329,Rossillon,809,93,32,5,0,0
01330,Ruffieu,1400,363,97,15,2,0
01331,Saint-Alban,825,315,85,18,3,0
01332,Saint-André-de-Bâgé,270,94,57,17,2,0
01333,Saint-André-de-Corcy,2091,1264,363,65,11,3
01334,Saint-André-d'Huiriat,903,670,321,52,7,1
01335,Saint-André-le-Bouchoux,933,691,170,25,3,0
01336,Saint-André-sur-Vieux-Jonc,2445,1637,628,96,11,1
01337,Saint-Bénigne,1640,1222,381,90,14,2
01338,Groslée-Saint-Benoit,2861,735,247,59,10,2
01339,Saint-Bernard,317,84,58,14,2,0
01342,Sainte-Croix,1063,602,229,42,6,1
01343,Saint-Cyr-sur-Menthon,1702,1100,473,98,13,2
01344,Saint-Denis-lès-Bourg,1264,660,430,107,18,3
01345,Saint-Denis-en-Bugey,261,83,20,2,0,0
01346,Saint-Didier-d'Aussiat,1507,1055,502,91,11,2
01347,Saint-Didier-de-Formans,660,293,191,51,7,1
01348,Saint-Didier-sur-Chalaronne,2511,1535,499,96,14,3
01349,Saint-Éloi,1416,815,193,36,5,1
01350,Saint-Étienne-du-Bois,2865,1551,822,173,23,4
01351,Saint-Étienne-sur-Chalaronne,2105,1459,506,102,16,3
01352,Saint-Étienne-sur-Reyssouze,1397,1006,342,59,7,1
01353,Sainte-Euphémie,460,233,109,27,4,0
01354,Saint-Genis-Pouilly,980,243,103,22,3,0
01355,Saint-Genis-sur-Menthon,1165,791,312,58,8,1
01356,Saint-Georges-sur-Renon,561,386,147,23,3,0
01357,Saint-Germain-de-Joux,1131,88,38,7,0,0
01358,Saint-Germain-les-Paroisses,1634,392,121,24,4,0
01359,Saint-Germain-sur-Renon,1639,1031,287,40,5,1
01360,Saint-Jean-de-Gonville,1226,529,173,44,8,1
01361,Saint-Jean-de-Niost,1402,768,187,37,6,1
01362,Saint-Jean-de-Thurigneux,1616,954,278,42,5,0
01363,Saint-Jean-le-Vieux,1529,767,227,46,7,1
01364,Saint-Jean-sur-Reyssouze,2750,2018,614,110,15,3
01365,Saint-Jean-sur-Veyle,1128,753,328,62,8,1
01366,Sainte-Julie,1142,715,149,31,5,1
01367,Saint-Julien-sur-Reyssouze,752,582,245,47,6,0
01368,Saint-Julien-sur-Veyle,985,677,386,72,10,1
01369,Saint-Just,338,149,99,25,3,0
01371,Saint-Marcel,1172,734,182,30,4,0
01372,Saint-Martin-de-Bavel,855,405,133,27,4,1
01373,Saint-Martin-du-Frêne,1942,362,138,28,4,0
01374,Saint-Martin-du-Mont,2805,1427,294,66,10,2
01375,Saint-Martin-le-Châtel,1267,938,405,77,9,1
01376,Saint-Maurice-de-Beynost,697,268,29,8,1,0
01378,Saint-Maurice-de-Gourdans,2542,1015,231,49,10,2
01379,Saint-Maurice-de-Rémens,1047,562,67,11,1,0
01380,Saint-Nizier-le-Bouchoux,2818,1875,656,115,15,3
01381,Saint-Nizier-le-Désert,2497,1467,456,75,10,2
01382,Sainte-Olive,740,413,146,28,4,0
01383,Saint-Paul-de-Varax,2594,1398,360,51,6,1
01384,Saint-Rambert-en-Bugey,2883,576,177,35,6,1
01385,Saint-Rémy,739,487,249,49,6,1
01386,Saint-Sorlin-en-Bugey,908,243,95,18,2,0
01387,Saint-Sulpice,520,383,127,22,2,0
01388,Saint-Trivier-de-Courtes,1646,1159,544,100,14,2
01389,Saint-Trivier-sur-Moignans,4227,3046,906,143,19,3
01390,Saint-Vulbas,2151,1173,269,40,5,1
01391,Salavre,778,348,89,15,2,0
01392,Samognat,1429,214,67,11,1,0
01393,Sandrans,2935,1831,459,57,6,1
01396,Sault-Brénaz,562,150,31,6,1,0
01397,Sauverny,189,102,69,15,2,0
01398,Savigneux,1483,1022,373,66,9,1
01399,Ségny,323,148,64,16,2,0
01400,Seillonnaz,963,306,83,17,2,0
01401,Sergy,979,392,116,31,5,1
01402,Sermoyer,1693,1047,240,49,8,1
01403,Serrières-de-Briord,853,246,71,17,3,0
01404,Serrières-sur-Ain,822,123,30,4,0,0
01405,Servas,1308,710,292,46,5,1
01406,Servignat,791,649,181,33,4,0
01407,Seyssel,244,53,46,11,1,0
01408,Simandre-sur-Suran,1626,680,219,45,7,1
01410,Sonthonnax-la-Montagne,1428,419,67,15,2,0
01411,Souclin,1332,323,62,10,1,0
01412,Sulignat,1073,693,399,77,10,1
01415,Talissieu,483,102,55,13,2,0
01416,Tenay,1280,3,,,,
01418,Thil,516,261,81,20,3,0
01419,Thoiry,2891,1175,364,86,15,3
01420,Thoissey,133,58,17,2,0,0
01421,Torcieu,1098,218,59,11,1,0
01422,Tossiat,1019,634,197,41,6,1
01423,Toussieux,476,334,77,17,2,0
01424,Tramoyes,1310,942,215,52,9,2
01425,La Tranclière,1480,468,134,24,3,0
01426,Val-Revermont,4573,2092,777,146,18,2
01427,Trévoux,560,45,22,4,0,0
01428,Valeins,435,359,98,15,1,0
01429,Vandeins,927,705,258,43,4,0
01430,Varambon,798,327,121,18,2,0
01431,Vaux-en-Bugey,825,174,85,16,2,0
01432,Verjon,511,248,98,17,1,0
01433,Vernoux,1020,761,268,50,7,1
01434,Versailleux,1933,1024,208,28,3,0
01435,Versonnex,586,311,86,18,2,0
01436,Vesancy,1066,367,99,18,3,0
01437,Vescours,1255,732,274,51,8,2
01439,Vésines,386,266,17,2,0,0
01441,Vieu-d'Izenave,2004,595,215,46,7,1
01443,Villars-les-Dombes,2475,1361,359,60,8,1
01444,Villebois,1391,207,77,21,4,0
01445,Villemotier,1382,981,352,63,7,1
01446,Villeneuve,2688,2041,595,103,14,2
01447,Villereversure,1743,767,272,60,10,2
01448,Villes,925,284,74,14,2,0
01449,Villette-sur-Ain,1987,791,277,44,6,1
01450,Villieu-Loyes-Mollon,1587,756,270,63,10,2
01451,Viriat,4530,2112,939,204,29,5
01452,Virieu-le-Grand,1245,144,51,7,1,0
01453,Arvière-en-Valromey,4103,1242,376,72,11,2
01454,Virignin,787,195,122,28,5,1
01456,Vongnes,206,41,21,4,0,0
01457,Vonnas,1814,1109,549,115,15,2
02001,Abbécourt,600,357,72,12,2,0
02002,Achery,698,492,64,14,2,0
02003,Acy,1162,783,105,17,2,0
02004,Agnicourt-et-Séchelles,1088,968,73,12,2,0
02005,Aguilcourt,1068,899,51,11,2,0
02006,Aisonville-et-Bernoville,880,649,69,19,4,1
02007,Aizelles,489,272,28,4,1,0
02008,Aizy-Jouy,1470,977,93,16,3,0
02009,Alaincourt,600,440,47,10,2,0
02010,Allemant,518,275,31,4,0,0
02011,Ambleny,1741,1167,170,32,4,0
02012,Ambrief,450,420,30,5,0,0
02013,Amifontaine,2805,2193,91,17,2,0
02014,Amigny-Rouy,1313,734,105,21,3,0
02015,Ancienville,387,232,27,4,0,0
02016,Andelain,290,245,38,9,1,0
02017,Anguilcourt-le-Sart,916,662,133,19,3,0
02018,Anizy-le-Grand,2099,1029,229,37,5,1
02019,Annois,588,352,74,15,2,0
02020,Any-Martin-Rieux,1781,1329,298,55,10,2
02021,Archon,642,580,100,18,4,1
02022,Arcy-Sainte-Restitue,2639,2001,159,27,4,0
02023,Armentières-sur-Ourcq,680,554,74,13,2,0
02024,Arrancy,560,332,39,6,1,0
02025,Artemps,631,450,42,7,1,0
02027,Assis-sur-Serre,812,716,54,10,1,0
02028,Athies-sous-Laon,1550,1081,187,30,4,0
02029,Attilly,1186,747,49,10,1,0
02030,Aubencheul-aux-Bois,211,161,24,5,1,0
02031,Aubenton,2375,1469,280,50,8,1
02032,Aubigny-aux-Kaisnes,376,341,65,13,2,0
02033,Aubigny-en-Laonnois,442,267,38,6,0,0
02034,Audignicourt,570,395,29,4,0,0
02035,Audigny,1076,979,64,8,1,0
02036,Augy,262,162,25,5,0,0
02037,Aulnois-sous-Laon,979,787,96,20,3,0
02038,Les Autels,606,475,93,19,3,0
02039,Autremencourt,920,817,93,12,1,0
02040,Autreppes,687,657,58,9,1,0
02041,Autreville,363,222,73,17,3,0
02042,Azy-sur-Marne,279,97,33,8,1,0
02043,Bagneux,219,159,26,5,0,0
02044,Bancigny,333,310,36,8,1,0
02046,Barenton-Bugny,1148,952,69,12,2,0
02047,Barenton-Cel,673,589,39,8,1,0
02048,Barenton-sur-Serre,801,638,44,9,1,0
02049,Barisis-aux-Bois,1512,619,123,26,4,1
02050,Barzy-en-Thiérache,774,617,187,41,7,2
02051,Barzy-sur-Marne,755,55,16,2,0,0
02052,Bassoles-Aulers,698,266,37,8,1,0
02053,Vallées-en-Champagne,4168,2039,339,46,6,1
02054,Bazoches-sur-Vesles,957,589,75,14,2,0
02055,Beaumé,922,591,150,27,4,1
02056,Beaumont-en-Beine,545,339,53,8,1,0
02057,Beaurevoir,2184,1980,228,36,6,1
02058,Beaurieux,972,339,54,12,1,0
02059,Beautor,755,344,48,11,1,0
02060,Beauvois-en-Vermandois,752,659,79,17,3,0
02061,Becquigny,476,305,113,27,6,1
02062,Belleau,672,367,46,7,1,0
02063,Bellenglise,645,570,72,12,1,0
02064,Belleu,454,176,27,6,1,0
02065,Bellicourt,976,837,108,19,3,0
02066,Benay,682,624,47,9,1,0
02067,Bergues-sur-Sambre,445,370,123,29,6,1
02068,Berlancourt,530,505,24,3,0,0
02069,Berlise,669,610,50,8,1,0
02070,Bernot,1675,1499,96,14,2,0
02071,Berny-Rivière,790,357,72,14,2,0
02072,Berrieux,505,360,18,3,0,0
02073,Berry-au-Bac,811,465,57,10,1,0
02074,Bertaucourt-Epourdon,754,569,100,17,2,0
02075,Berthenicourt,313,259,21,5,0,0
02076,Bertricourt,451,373,23,5,0,0
02077,Berzy-le-Sec,1169,846,44,7,0,0
02078,Besmé,267,201,34,5,0,0
02079,Besmont,1587,926,245,51,9,2
02080,Besny-et-Loizy,973,946,98,14,1,0
02081,Béthancourt-en-Vaux,432,242,50,11,1,0
02082,Beugneux,769,697,31,6,1,0
02083,Beuvardes,1565,711,143,23,3,0
02084,Bézu-le-Guéry,1113,619,97,17,3,1
02085,Bézu-Saint-Germain,1115,654,110,19,3,0
02086,Bichancourt,779,515,112,26,4,0
02087,Bieuxy,451,392,36,6,0,0
02088,Bièvres,266,119,18,1,0,0
02089,Billy-sur-Aisne,750,326,88,21,4,0
02090,Billy-sur-Ourcq,1021,828,79,14,2,0
02091,Blanzy-lès-Fismes,529,436,28,4,0,0
02093,Blérancourt,1080,571,63,16,2,0
02094,Blesmes,979,693,72,8,1,0
02095,Bohain-en-Vermandois,3188,2456,419,67,11,3
02096,Bois-lès-Pargny,1051,745,46,8,1,0
02097,Boncourt,1341,1246,73,10,1,0
02098,Bonneil,212,19,9,1,0,0
02099,Bonnesvalyn,633,352,43,7,0,0
02100,Bony,803,710,86,13,1,0
02101,Bosmont-sur-Serre,962,640,49,7,1,0
02102,Bouconville-Vauclair,1300,466,62,8,1,0
02103,Boué,1072,486,145,32,6,1
02104,Bouffignereux,441,298,22,3,0,0
02105,Bouresches,757,458,52,9,1,0
02106,Bourg-et-Comin,520,217,31,7,1,0
02107,Bourguignon-sous-Coucy,282,214,39,8,1,0
02108,Bourguignon-sous-Montbavin,194,21,4,0,0,0
02109,La Bouteille,1935,1554,424,85,15,4
02110,Braine,1163,552,94,14,2,0
02111,Brancourt-en-Laonnois,666,238,36,6,0,0
02112,Brancourt-le-Grand,1336,1207,161,27,4,1
02114,Brasles,745,273,83,17,2,0
02115,Braye-en-Laonnois,814,523,41,6,1,0
02116,Braye-en-Thiérache,930,467,76,14,2,0
02117,Bray-Saint-Christophe,292,263,29,6,1,0
02118,Braye,134,69,6,0,0,0
02119,Brécy,1028,455,65,10,1,0
02120,Brenelle,435,230,42,6,0,0
02121,Breny,454,301,50,9,1,0
02122,Brie,281,81,21,3,0,0
02123,Brissay-Choigny,888,741,58,9,1,0
02124,Brissy-Hamégicourt,1224,961,78,11,1,0
02125,Brumetz,727,418,22,2,0,0
02126,Brunehamel,889,700,130,24,5,1
02127,Bruyères-sur-Fère,903,696,83,13,1,0
02128,Bruyères-et-Montbérault,1163,366,55,9,1,0
02129,Bruys,569,445,39,6,0,0
02130,Bucilly,1290,931,128,19,2,0
02131,Bucy-le-Long,1291,553,125,23,3,0
02132,Bucy-lès-Cerny,875,364,44,7,0,0
02133,Bucy-lès-Pierrepont,1460,1271,75,10,1,0
02134,Buire,415,265,88,17,2,0
02135,Buironfosse,1767,995,326,62,11,2
02136,Burelles,1388,982,106,20,3,0
02137,Bussiares,759,544,57,10,1,0
02138,Buzancy,475,334,20,3,0,0
02139,Caillouël-Crépigny,669,436,63,11,1,0
02140,Camelin,920,632,117,23,3,0
02141,La Capelle,1231,892,273,43,6,1
02142,Castres,578,404,22,3,0,0
02143,Le Catelet,40,13,8,1,0,0
02144,Caulaincourt,599,334,11,1,0,0
02145,Caumont,575,369,72,14,1,0
02146,Celles-lès-Condé,392,254,42,6,0,0
02148,Celles-sur-Aisne,607,381,61,12,1,0
02149,Cerizy,402,420,36,6,1,0
02150,Cerny-en-Laonnois,733,365,23,4,0,0
02151,Cerny-lès-Bucy,318,286,25,2,0,0
02152,Cerseuil,460,310,27,5,0,0
02153,Cessières-Suzy,1978,643,118,23,3,0
02154,Chacrise,1274,690,47,7,1,0
02155,Chaillevois,217,23,8,1,0,0
02156,Chalandry,776,662,54,12,2,0
02157,Chambry,893,645,85,12,1,0
02158,Chamouille,339,106,25,4,0,0
02159,Champs,922,513,154,32,5,1
02160,Chaourse,1868,1600,151,20,3,0
02162,La Chapelle-sur-Chézy,810,736,103,15,2,0
02163,Charly-sur-Marne,2067,1024,174,28,5,1
02164,Le Charmel,980,501,76,12,1,0
02165,Charmes,370,201,71,11,2,0
02166,Chartèves,886,194,26,3,0,0
02167,Chassemy,1095,347,21,2,0,0
02168,Château-Thierry,1700,542,103,15,1,0
02169,Châtillon-lès-Sons,1066,999,76,15,3,1
02170,Châtillon-sur-Oise,263,158,37,5,0,0
02171,Chaudardes,471,339,30,5,1,0
02172,Chaudun,855,796,63,10,1,0
02173,Chauny,1330,474,129,31,5,1
02174,Chavignon,1162,556,100,16,2,0
02175,Chavigny,526,278,21,3,0,0
02176,Chavonne,369,223,43,6,1,0
02177,Chérêt,368,236,30,3,0,0
02178,Chermizy-Ailles,1089,570,58,9,2,0
02179,Chéry-Chartreuve,1386,769,149,24,3,0
02180,Chéry-lès-Pouilly,1744,1535,54,14,2,0
02181,Chéry-lès-Rozoy,502,430,43,9,1,0
02182,Chevennes,612,585,55,11,2,0
02183,Chevregny,883,353,21,2,0,0
02184,Chevresis-Monceau,1718,1498,59,9,1,0
02185,Chézy-en-Orxois,1650,1241,100,16,2,0
02186,Chézy-sur-Marne,2255,1281,254,31,4,1
02187,Chierry,283,108,35,6,0,0
02188,Chigny,1059,531,81,17,3,0
02189,Chivres-en-Laonnois,1380,826,41,7,1,0
02190,Chivres-Val,557,289,41,7,1,0
02191,Chivy-lès-Étouvelles,357,114,38,6,0,0
02192,Chouy,2046,1431,120,18,2,0
02193,Cierges,818,500,35,6,1,0
02194,Cilly,935,856,58,11,2,1
02195,Ciry-Salsogne,897,398,99,21,3,0
02196,Clacy-et-Thierret,423,192,31,5,0,0
02197,Clairfontaine,1438,1270,474,94,17,4
